,Identifier,Immobility Ratio,Interval [1 min],Treatment
25,25,0.13116725937,1,Control
50,50,0.00419956963532,1,Control
47,47,0.479804436366,4,Control
31,31,0.82752361695,4,Control
46,46,0.3252780358,4,Control
48,48,0.238166153431,4,Control
50,50,0.499587122599,4,Control
54,54,0.311474116643,4,Control
55,55,0.407195313772,4,Control
25,25,0.675364398956,4,Control
56,56,0.781669767698,4,Control
76,76,0.781669767698,4,Control
49,49,0.691447416941,4,Control
77,77,0.781669767698,4,Control
25,25,0.660092266401,3,Control
25,25,0.574334951242,2,Control
55,55,0.440732900302,3,Control
54,54,0.0340414683024,3,Control
76,76,0.555917084217,3,Control
56,56,0.555917084217,3,Control
32,32,0.759891148408,3,Control
75,75,0.555917084217,3,Control
48,48,0.483885971705,3,Control
31,31,0.854425485929,3,Control
46,46,0.208662068844,3,Control
77,77,0.555917084217,3,Control
47,47,0.865278152625,3,Control
49,49,0.628163369497,3,Control
32,32,0.821041297913,4,Control
54,54,0.256725470225,5,Control
75,75,0.517325854301,5,Control
56,56,0.517325854301,5,Control
55,55,0.540181540217,6,Control
54,54,0.380019503299,6,Control
50,50,0.00417625514816,6,Control
49,49,0.638407326721,6,Control
48,48,0.475178938921,6,Control
47,47,0.763885733576,6,Control
46,46,0.886941481513,6,Control
75,75,0.721736400987,6,Control
32,32,0.782242202253,6,Control
31,31,0.731881538975,6,Control
25,25,0.736313451328,6,Control
56,56,0.721736400987,6,Control
76,76,0.721736400987,6,Control
77,77,0.721736400987,6,Control
50,50,0.183376038074,5,Control
31,31,0.724929046631,5,Control
46,46,0.621239407857,5,Control
49,49,0.216954636574,5,Control
47,47,0.715351637204,5,Control
77,77,0.517325854301,5,Control
48,48,0.412885554632,5,Control
32,32,0.854985868931,5,Control
25,25,0.653353746732,5,Control
76,76,0.517325854301,5,Control
55,55,0.701881666978,5,Control
50,50,0.713481060664,3,Control
75,75,0.781669767698,4,Control
54,54,0.0973697688394,1,Control
76,76,0.430052073797,2,Control
47,47,0.0859965270139,1,Control
46,46,0.508148145676,2,Control
76,76,0.0,1,Control
48,48,0.344128410021,2,Control
49,49,0.0446225007375,2,Control
50,50,0.365789798896,2,Control
77,77,0.0,1,Control
77,77,0.430052073797,2,Control
46,46,0.0148641208354,1,Control
54,54,0.17582821846,2,Control
55,55,0.0,2,Control
56,56,0.430052073797,2,Control
55,55,0.0,1,Control
75,75,0.0,1,Control
75,75,0.430052073797,2,Control
47,47,0.575629715125,2,Control
48,48,0.0586393665504,1,Control
56,56,0.0,1,Control
32,32,0.0710102808399,1,Control
49,49,0.0874160686117,1,Control
32,32,0.764736159643,2,Control
31,31,0.00707187661515,1,Control
31,31,0.217811171214,2,Control
52,52,0.82402288119,5,Fluoxetine
79,79,0.517325854301,5,Fluoxetine
40,40,0.578093878428,5,Fluoxetine
40,40,0.00483597391874,1,Fluoxetine
51,51,0.0017668935793,1,Fluoxetine
26,26,0.240505841145,1,Fluoxetine
44,44,0.718441502253,5,Fluoxetine
37,37,0.593860546748,5,Fluoxetine
30,30,0.727828943729,5,Fluoxetine
28,28,0.530387155215,5,Fluoxetine
45,45,0.00417904853821,5,Fluoxetine
41,41,0.0206359664599,5,Fluoxetine
80,80,0.517325854301,5,Fluoxetine
42,42,0.180251546982,1,Fluoxetine
37,37,0.133769420327,1,Fluoxetine
28,28,0.0,1,Fluoxetine
27,27,0.577515900135,5,Fluoxetine
43,43,0.314522838593,5,Fluoxetine
29,29,0.580274951458,5,Fluoxetine
79,79,0.0,1,Fluoxetine
51,51,0.778263258934,5,Fluoxetine
45,45,0.0339603011426,6,Fluoxetine
26,26,0.695247149467,5,Fluoxetine
79,79,0.721736400987,6,Fluoxetine
42,42,0.500871121747,6,Fluoxetine
52,52,0.649862483398,6,Fluoxetine
51,51,0.625161380797,6,Fluoxetine
80,80,0.0,1,Fluoxetine
29,29,0.224178587172,1,Fluoxetine
44,44,0.162988851912,1,Fluoxetine
39,39,0.0542267071687,1,Fluoxetine
44,44,0.390800785201,6,Fluoxetine
43,43,0.528172587122,6,Fluoxetine
41,41,0.323747305469,6,Fluoxetine
78,78,0.0,1,Fluoxetine
40,40,0.386378688808,6,Fluoxetine
39,39,0.836794347528,6,Fluoxetine
37,37,0.520538198263,6,Fluoxetine
43,43,0.011469545582,1,Fluoxetine
30,30,0.0404734805054,1,Fluoxetine
30,30,0.443497343672,6,Fluoxetine
29,29,0.608379090807,6,Fluoxetine
28,28,0.496310603931,6,Fluoxetine
27,27,0.852216204007,6,Fluoxetine
26,26,0.526894028982,6,Fluoxetine
45,45,0.100589063998,1,Fluoxetine
78,78,0.721736400987,6,Fluoxetine
78,78,0.517325854301,5,Fluoxetine
27,27,0.475776696205,2,Fluoxetine
39,39,0.245318233967,5,Fluoxetine
29,29,0.619958813985,2,Fluoxetine
37,37,0.427420858542,3,Fluoxetine
52,52,0.484339241187,2,Fluoxetine
39,39,0.557726168633,3,Fluoxetine
42,42,0.276568734646,3,Fluoxetine
40,40,0.0990657051404,3,Fluoxetine
41,41,0.524986628691,3,Fluoxetine
79,79,0.555917084217,3,Fluoxetine
43,43,0.100391948223,3,Fluoxetine
26,26,0.760052164396,3,Fluoxetine
44,44,0.484015214443,2,Fluoxetine
79,79,0.430052073797,2,Fluoxetine
29,29,0.582573274771,3,Fluoxetine
78,78,0.555917084217,3,Fluoxetine
27,27,0.376609198252,4,Fluoxetine
51,51,0.20109197696,3,Fluoxetine
45,45,0.472445531686,3,Fluoxetine
30,30,0.227600618203,3,Fluoxetine
27,27,0.832875879606,3,Fluoxetine
80,80,0.555917084217,3,Fluoxetine
52,52,0.683262828986,3,Fluoxetine
44,44,0.318469504515,3,Fluoxetine
26,26,0.49216542244,2,Fluoxetine
28,28,0.715404923757,3,Fluoxetine
28,28,0.713930630684,2,Fluoxetine
37,37,0.43805462122,2,Fluoxetine
30,30,0.9355240345,2,Fluoxetine
51,51,0.504942727089,2,Fluoxetine
45,45,0.673163866997,2,Fluoxetine
27,27,0.125336300604,1,Fluoxetine
30,30,0.746270950635,4,Fluoxetine
42,42,0.301853466034,5,Fluoxetine
52,52,0.0624364961421,1,Fluoxetine
41,41,0.207943858291,1,Fluoxetine
39,39,0.582673362891,4,Fluoxetine
80,80,0.430052073797,2,Fluoxetine
29,29,0.605149968465,4,Fluoxetine
40,40,0.311425785224,4,Fluoxetine
40,40,0.4694257617,2,Fluoxetine
42,42,0.715250551701,2,Fluoxetine
41,41,0.259090654055,4,Fluoxetine
78,78,0.781669767698,4,Fluoxetine
45,45,0.172013890743,4,Fluoxetine
79,79,0.781669767698,4,Fluoxetine
51,51,0.623793987433,4,Fluoxetine
42,42,0.487648483117,4,Fluoxetine
44,44,0.18579616944,4,Fluoxetine
43,43,0.518655296167,2,Fluoxetine
43,43,0.332231152058,4,Fluoxetine
37,37,0.0437133987745,4,Fluoxetine
26,26,0.172817567984,4,Fluoxetine
39,39,0.426648485661,2,Fluoxetine
28,28,0.713563636939,4,Fluoxetine
41,41,0.498715738455,2,Fluoxetine
52,52,0.513565480709,4,Fluoxetine
80,80,0.781669767698,4,Fluoxetine
78,78,0.430052073797,2,Fluoxetine
80,80,0.721736400987,6,Fluoxetine
